Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Current X Speed,Current Y Speed,Current Theta Speed,Current X LiDAR,Current Y LiDAR,Current Theta LiDAR,Current X Speed LiDAR,Current Y Speed LiDAR,Current Theta Speed LiDAR,Linear Velocity,Angular Velocity
0.0,2.0,2.0,1.57,-0.05,0.003,-0.001,-0.002,-0.0,0.007,-0.051,0.003,-0.001,-0.019,0.012,-0.005,0.0,0.0
0.1,2.0,2.0,1.57,-0.05,0.002,0.0,0.001,-0.006,0.008,-0.05,0.002,0.0,-0.0,-0.025,0.008,0.0,0.0
0.2,2.0,2.0,1.57,-0.05,0.003,-0.0,-0.0,-0.0,0.005,-0.05,0.004,-0.0,-0.003,0.021,-0.006,0.24,0.354
0.3,2.0,2.0,1.57,-0.049,0.003,-0.0,0.055,-0.028,0.229,-0.05,0.004,-0.0,0.001,0.005,0.002,0.3,0.361
0.4,2.0,2.0,1.57,-0.042,0.005,0.008,0.173,0.009,0.235,-0.042,0.008,0.008,0.078,0.036,0.075,0.3,0.6
0.5,2.0,2.0,1.57,-0.04,0.005,0.008,0.181,0.012,0.22,-0.028,0.011,0.038,0.142,0.032,0.31,0.3,0.6
0.6,2.0,2.0,1.57,0.002,0.009,0.065,0.21,-0.002,0.45,0.018,0.012,0.065,0.464,0.004,0.266,0.3,0.6
0.7,2.0,2.0,1.57,0.042,0.016,0.111,0.226,0.065,0.456,0.044,0.017,0.111,0.254,0.059,0.463,0.3,0.6
0.8,2.0,2.0,1.57,0.082,0.025,0.204,0.221,0.063,0.456,0.089,0.028,0.204,0.253,0.105,0.462,0.3,0.6
0.9,2.0,2.0,1.57,0.114,0.03,0.25,0.234,0.054,0.464,0.117,0.029,0.25,0.276,0.015,0.457,0.3,0.6
1.0,2.0,2.0,1.57,0.138,0.036,0.296,0.232,0.052,0.463,0.138,0.035,0.296,0.207,0.051,0.463,0.3,0.6
1.1,2.0,2.0,1.57,0.176,0.049,0.343,0.246,0.07,0.466,0.162,0.045,0.343,0.249,0.109,0.467,0.3,0.6
1.2,2.0,2.0,1.57,0.202,0.057,0.436,0.237,0.083,0.46,0.209,0.061,0.436,0.208,0.144,0.454,0.3,0.564
1.3,2.0,2.0,1.57,0.223,0.065,0.436,0.241,0.087,0.44,0.227,0.07,0.483,0.182,0.087,0.471,0.3,0.509
1.4,2.0,2.0,1.57,0.258,0.085,0.527,0.237,0.097,0.393,0.251,0.086,0.527,0.244,0.161,0.433,0.3,0.395
1.5,2.0,2.0,1.57,0.276,0.099,0.568,0.224,0.111,0.326,0.271,0.103,0.568,0.197,0.165,0.415,0.3,0.34
1.6,2.0,2.0,1.57,0.306,0.115,0.601,0.222,0.114,0.258,0.292,0.113,0.601,0.21,0.107,0.332,0.3,0.306
1.7,2.0,2.0,1.57,0.324,0.129,0.631,0.22,0.125,0.229,0.292,0.113,0.601,0.21,0.107,0.332,0.3,0.268
1.8,2.0,2.0,1.57,0.348,0.151,0.655,0.212,0.136,0.208,0.333,0.149,0.655,0.207,0.205,0.241,0.3,0.232
1.9,2.0,2.0,1.57,0.372,0.177,0.698,0.208,0.154,0.184,0.373,0.183,0.698,0.204,0.116,0.218,0.3,0.206
2.0,2.0,2.0,1.57,0.395,0.195,0.716,0.198,0.147,0.136,0.389,0.195,0.716,0.167,0.124,0.183,0.3,0.156
2.1,2.0,2.0,1.57,0.41,0.211,0.73,0.19,0.153,0.127,0.406,0.213,0.73,0.163,0.179,0.132,0.3,0.136
2.2,2.0,2.0,1.57,0.438,0.236,0.742,0.193,0.16,0.09,0.425,0.231,0.742,0.197,0.177,0.122,0.3,0.128
2.3,2.0,2.0,1.57,0.46,0.256,0.751,0.19,0.158,0.082,0.445,0.247,0.751,0.196,0.166,0.096,0.3,0.117
2.4,2.0,2.0,1.57,0.479,0.272,0.76,0.199,0.166,0.08,0.467,0.265,0.76,0.219,0.178,0.089,0.3,0.108
2.5,2.0,2.0,1.57,0.496,0.294,0.775,0.175,0.166,0.077,0.485,0.281,0.768,0.18,0.156,0.078,0.3,0.082
2.6,2.0,2.0,1.57,0.524,0.322,0.783,0.177,0.176,0.066,0.538,0.336,0.789,0.227,0.183,0.062,0.3,0.073
2.7,2.0,2.0,1.57,0.547,0.348,0.797,0.174,0.181,0.049,0.538,0.336,0.789,0.227,0.183,0.062,0.3,0.068
2.8,2.0,2.0,1.57,0.567,0.369,0.801,0.177,0.178,0.049,0.569,0.374,0.801,0.181,0.172,0.04,0.3,0.059
2.9,2.0,2.0,1.57,0.581,0.385,0.804,0.177,0.183,0.055,0.569,0.374,0.801,0.181,0.172,0.04,0.3,0.049
3.0,2.0,2.0,1.57,0.61,0.413,0.809,0.179,0.178,0.042,0.605,0.41,0.809,0.185,0.164,0.049,0.3,0.049
3.1,2.0,2.0,1.57,0.633,0.438,0.814,0.184,0.188,0.046,0.625,0.431,0.814,0.201,0.216,0.058,0.3,0.044
3.2,2.0,2.0,1.57,0.649,0.453,0.819,0.183,0.183,0.049,0.643,0.447,0.819,0.175,0.156,0.045,0.3,0.033
3.3,2.0,2.0,1.57,0.67,0.478,0.822,0.188,0.195,0.02,0.662,0.471,0.822,0.19,0.236,0.034,0.3,0.033
3.4,2.0,2.0,1.57,0.686,0.496,0.825,0.175,0.185,0.026,0.676,0.487,0.825,0.14,0.167,0.031,0.3,0.034
3.5,2.0,2.0,1.57,0.702,0.516,0.826,0.173,0.187,0.025,0.692,0.507,0.826,0.165,0.194,0.005,0.3,0.027
3.6,2.0,2.0,1.57,0.724,0.541,0.83,0.177,0.189,0.032,0.727,0.545,0.83,0.181,0.162,0.013,0.3,0.023
3.7,2.0,2.0,1.57,0.745,0.564,0.833,0.173,0.189,0.025,0.743,0.562,0.833,0.156,0.176,0.033,0.3,0.018
3.8,2.0,2.0,1.57,0.759,0.584,0.834,0.164,0.197,0.031,0.758,0.587,0.834,0.154,0.247,0.014,0.3,0.015
3.9,2.0,2.0,1.57,0.787,0.619,0.838,0.164,0.196,0.031,0.774,0.606,0.838,0.16,0.19,0.034,0.3,0.014
4.0,2.0,2.0,1.57,0.806,0.639,0.84,0.172,0.199,0.02,0.794,0.626,0.84,0.195,0.201,0.027,0.3,0.008
4.1,2.0,2.0,1.57,0.809,0.642,0.845,0.169,0.194,0.024,0.822,0.663,0.845,0.122,0.193,0.006,0.3,0.003
