Timestamp,Reference X,Reference Y,Reference Theta,Current X,Current Y,Current Theta,Linear Velocity,Angular Velocity,Current Motor1,Current Motor2,Voltage Motor1,Voltage Motor2,Energy Usage
0.0,2.0,0.0,0.0,0.001,-0.019,-1.572,0.005,0.036,0.451,0.107,0.098,0.001,0.106
0.1,2.0,0.0,0.0,0.002,-0.018,-1.573,0.155,1.2,0.451,0.092,0.098,-0.009,0.214
0.2,2.0,0.0,0.0,0.003,-0.02,-1.572,0.305,1.2,0.817,2.978,-0.169,0.38,3.262
0.3,2.0,0.0,0.0,0.009,-0.034,-1.559,0.38,1.2,0.879,2.705,-0.083,0.457,6.406
0.4,2.0,0.0,0.0,0.037,-0.038,-1.477,0.53,1.2,0.799,3.698,0.079,0.529,11.254
0.5,2.0,0.0,0.0,0.052,-0.054,-1.383,0.6,1.2,1.034,2.767,0.153,0.563,15.375
0.6,2.0,0.0,0.0,0.078,-0.092,-1.287,0.6,1.2,0.727,3.081,0.09,0.598,19.954
0.7,2.0,0.0,0.0,0.102,-0.15,-1.088,0.6,1.2,0.524,2.082,0.024,0.539,22.679
0.8,2.0,0.0,0.0,0.134,-0.205,-0.983,0.6,1.2,0.559,2.508,0.079,0.566,26.192
0.9,2.0,0.0,0.0,0.16,-0.245,-0.874,0.6,1.2,0.668,2.503,0.043,0.56,29.628
1.0,2.0,0.0,0.0,0.195,-0.293,-0.764,0.6,1.2,0.399,2.485,0.041,0.569,33.06
1.1,2.0,0.0,0.0,0.232,-0.331,-0.655,0.6,1.2,0.781,2.606,0.068,0.557,36.668
1.2,2.0,0.0,0.0,0.284,-0.381,-0.546,0.6,1.2,0.747,2.61,0.065,0.57,40.356
1.3,2.0,0.0,0.0,0.351,-0.409,-0.326,0.6,1.2,0.568,1.982,0.043,0.548,43.02
1.4,2.0,0.0,0.0,0.419,-0.439,-0.214,0.6,1.2,0.614,2.638,0.041,0.571,46.699
1.5,2.0,0.0,0.0,0.467,-0.454,-0.107,0.6,1.2,0.564,1.488,0.054,0.546,48.723
1.6,2.0,0.0,0.0,0.52,-0.465,0.0,0.6,1.2,0.666,2.61,0.067,0.55,52.278
1.7,2.0,0.0,0.0,0.623,-0.452,0.211,0.6,0.405,0.648,0.269,0.32,0.351,53.002
1.8,2.0,0.0,0.0,0.667,-0.438,0.298,0.6,0.159,0.444,1.898,0.163,0.453,55.238
1.9,2.0,0.0,0.0,0.71,-0.426,0.341,0.6,-0.2,0.43,0.519,0.283,0.346,55.96
2.0,2.0,0.0,0.0,0.752,-0.407,0.364,0.6,-0.2,1.531,0.423,0.418,0.321,57.82
2.1,2.0,0.0,0.0,0.812,-0.39,0.362,0.6,-0.16,1.822,0.279,0.419,0.273,59.835
2.2,2.0,0.0,0.0,0.88,-0.374,0.348,0.6,-0.145,1.319,0.109,0.406,0.276,61.193
2.3,2.0,0.0,0.0,0.977,-0.329,0.326,0.6,-0.045,1.674,0.242,0.398,0.297,62.964
2.4,2.0,0.0,0.0,1.019,-0.309,0.317,0.6,-0.023,1.429,0.192,0.382,0.323,64.422
2.5,2.0,0.0,0.0,1.08,-0.291,0.314,0.6,-0.055,0.707,0.153,0.354,0.294,65.13
2.6,2.0,0.0,0.0,1.115,-0.275,0.313,0.6,-0.041,0.781,0.245,0.374,0.34,66.032
2.7,2.0,0.0,0.0,1.192,-0.243,0.311,0.6,-0.03,1.085,0.26,0.361,0.321,67.173
2.8,2.0,0.0,0.0,1.267,-0.223,0.308,0.6,-0.06,0.978,0.197,0.375,0.315,68.202
2.9,2.0,0.0,0.0,1.315,-0.208,0.308,0.6,-0.037,1.459,0.197,0.37,0.322,69.651
3.0,2.0,0.0,0.0,1.375,-0.189,0.304,0.6,-0.066,0.894,0.206,0.36,0.34,70.593
3.1,2.0,0.0,0.0,1.434,-0.168,0.301,0.6,-0.029,1.046,0.136,0.389,0.275,71.66
3.2,2.0,0.0,0.0,1.486,-0.152,0.3,0.6,-0.039,0.8,0.496,0.379,0.362,72.819
3.3,2.0,0.0,0.0,1.556,-0.131,0.295,0.6,-0.019,1.198,0.539,0.382,0.362,74.386
3.4,2.0,0.0,0.0,1.618,-0.111,0.294,0.6,-0.031,0.606,0.187,0.321,0.3,74.987
3.5,2.0,0.0,0.0,1.671,-0.095,0.293,0.6,-0.021,1.106,0.544,0.373,0.365,76.455
3.6,2.0,0.0,0.0,1.743,-0.072,0.289,0.6,-0.046,0.827,0.233,0.362,0.335,77.362
3.7,2.0,0.0,0.0,1.779,-0.06,0.289,0.6,-0.032,0.732,0.272,0.347,0.335,78.19
3.8,2.0,0.0,0.0,1.884,-0.026,0.29,0.525,-0.027,1.334,0.204,0.383,0.318,79.573
3.9,2.0,2.0,0.0,1.926,-0.012,0.288,0.375,-0.038,0.328,0.1,0.193,0.151,79.761
4.0,2.0,2.0,0.0,1.974,0.001,0.286,0.45,1.162,0.372,0.09,0.172,0.125,79.942
4.1,2.0,2.0,0.0,2.007,0.014,0.283,0.6,1.2,0.477,0.651,0.164,0.328,80.642
4.2,2.0,2.0,0.0,2.054,0.024,0.282,0.6,1.2,0.833,2.38,0.186,0.56,84.211
4.3,2.0,2.0,0.0,2.088,0.003,0.386,0.6,1.2,0.673,2.39,0.093,0.57,87.629
4.4,2.0,2.0,0.0,2.139,0.001,0.386,0.6,1.2,0.491,1.713,0.043,0.545,89.921
4.5,2.0,2.0,0.0,2.2,0.03,0.598,0.6,1.2,0.845,2.739,0.064,0.579,93.859
4.6,2.0,2.0,0.0,2.287,0.071,0.708,0.6,1.2,0.761,2.102,0.031,0.575,96.814
4.7,2.0,2.0,0.0,2.356,0.148,0.932,0.6,1.2,0.367,1.515,0.042,0.54,98.816
4.8,2.0,2.0,0.0,2.386,0.203,1.043,0.6,1.2,0.53,2.22,0.04,0.545,101.772
4.9,2.0,2.0,0.0,2.412,0.26,1.154,0.6,1.2,0.68,2.28,0.052,0.57,104.973
5.0,2.0,2.0,0.0,2.427,0.34,1.375,0.6,1.2,0.572,2.22,0.079,0.565,108.09
5.1,2.0,2.0,0.0,2.445,0.413,1.488,0.6,1.2,0.534,2.001,0.032,0.56,110.821
5.2,2.0,2.0,0.0,2.46,0.499,1.597,0.6,1.2,0.596,2.908,0.074,0.57,114.901
5.3,2.0,2.0,0.0,2.459,0.567,1.704,0.6,0.211,0.475,2.636,0.098,0.5,118.177
5.4,2.0,2.0,0.0,2.446,0.631,1.81,0.6,-0.289,0.503,1.688,0.1,0.473,120.213
5.5,2.0,2.0,0.0,2.397,0.717,1.956,0.6,-0.815,0.786,0.245,0.374,0.317,121.105
5.6,2.0,2.0,0.0,2.344,0.804,1.98,0.6,-0.362,2.003,0.279,0.474,0.172,123.496
5.7,2.0,2.0,0.0,2.31,0.855,1.933,0.6,-0.368,1.943,0.167,0.439,0.182,125.617
5.8,2.0,2.0,0.0,2.303,0.905,1.871,0.6,0.086,1.115,0.201,0.418,0.234,126.849
5.9,2.0,2.0,0.0,2.291,0.95,1.836,0.6,0.075,1.907,0.145,0.413,0.239,128.823
6.0,2.0,2.0,0.0,2.278,0.989,1.809,0.6,0.134,1.482,0.164,0.369,0.294,130.25
6.1,2.0,2.0,0.0,2.268,1.07,1.812,0.6,0.168,0.654,1.109,0.339,0.402,131.852
6.2,2.0,2.0,0.0,2.254,1.124,1.821,0.6,0.102,0.569,0.84,0.272,0.403,133.035
6.3,2.0,2.0,0.0,2.244,1.174,1.831,0.6,0.076,0.377,1.265,0.221,0.382,134.395
6.4,2.0,2.0,0.0,2.235,1.212,1.831,0.6,0.1,0.528,0.569,0.293,0.383,135.289
6.5,2.0,2.0,0.0,2.204,1.312,1.843,0.6,0.056,0.634,1.654,0.287,0.408,137.347
6.6,2.0,2.0,0.0,2.199,1.335,1.849,0.6,0.003,0.491,0.636,0.298,0.359,138.247
6.7,2.0,2.0,0.0,2.182,1.402,1.857,0.6,0.03,0.54,0.38,0.291,0.337,138.932
6.8,2.0,2.0,0.0,2.161,1.466,1.86,0.6,0.01,0.503,0.748,0.296,0.381,139.973
6.9,2.0,2.0,0.0,2.14,1.537,1.864,0.6,-0.021,0.666,1.101,0.328,0.384,141.512
7.0,2.0,2.0,0.0,2.132,1.577,1.866,0.6,-0.021,0.622,0.293,0.349,0.321,142.259
7.1,2.0,2.0,0.0,2.113,1.645,1.867,0.6,0.025,0.607,0.835,0.303,0.369,143.44
7.2,2.0,2.0,0.0,2.087,1.737,1.868,0.6,0.025,0.611,0.26,0.329,0.345,144.137
7.3,2.0,2.0,0.0,2.06,1.813,1.865,0.6,0.032,0.779,0.331,0.342,0.343,145.048
7.4,2.0,2.0,0.0,2.033,1.881,1.868,0.45,-0.014,0.338,0.088,0.195,0.238,145.257
7.5,0.0,2.0,0.0,2.021,1.934,1.877,0.45,1.183,0.208,0.085,0.089,0.081,145.317
7.6,0.0,2.0,0.0,2.009,1.981,1.879,0.525,1.2,0.421,1.094,0.064,0.334,146.26
7.7,0.0,2.0,0.0,1.975,2.046,1.879,0.6,1.2,0.701,4.241,0.16,0.622,152.865
7.8,0.0,2.0,0.0,1.977,2.042,1.921,0.6,1.2,0.564,2.983,0.092,0.575,157.102
7.9,0.0,2.0,0.0,1.932,2.083,2.129,0.6,1.2,0.824,2.259,0.049,0.575,160.313
8.0,0.0,2.0,0.0,1.896,2.131,2.235,0.6,1.2,0.723,2.003,0.037,0.56,163.068
8.1,0.0,2.0,0.0,1.864,2.168,2.346,0.6,1.2,0.575,1.988,0.075,0.545,165.774
8.2,0.0,2.0,0.0,1.817,2.213,2.458,0.6,1.2,0.482,2.356,0.087,0.575,169.123
8.3,0.0,2.0,0.0,1.738,2.27,2.697,0.6,1.2,0.528,2.353,0.088,0.57,172.451
8.4,0.0,2.0,0.0,1.689,2.31,2.809,0.6,1.2,0.342,2.152,0.052,0.545,175.309
8.5,0.0,2.0,0.0,1.638,2.325,2.921,0.6,1.2,0.545,2.295,0.065,0.575,178.559
8.6,0.0,2.0,0.0,1.572,2.349,3.031,0.6,0.982,0.606,2.451,0.067,0.555,181.92
8.7,0.0,2.0,0.0,1.512,2.358,-3.138,0.6,0.382,0.445,2.527,0.08,0.55,185.34
8.8,0.0,2.0,0.0,1.428,2.372,-3.027,0.6,-0.142,0.58,0.397,0.273,0.4,186.102
8.9,0.0,2.0,0.0,1.396,2.363,-2.926,0.6,-0.142,0.535,0.334,0.31,0.315,186.752
9.0,0.0,2.0,0.0,1.32,2.368,-2.845,0.6,-0.234,0.649,0.553,0.36,0.355,187.783
9.1,0.0,2.0,0.0,1.244,2.358,-2.85,0.6,-0.006,1.405,0.306,0.402,0.304,189.361
9.2,0.0,2.0,0.0,1.183,2.342,-2.862,0.6,0.052,0.813,0.118,0.378,0.294,190.182
9.3,0.0,2.0,0.0,1.097,2.302,-2.87,0.6,-0.007,0.878,0.24,0.375,0.338,191.166
9.4,0.0,2.0,0.0,1.047,2.281,-2.867,0.6,-0.015,0.654,1.573,0.347,0.392,193.189
9.5,0.0,2.0,0.0,1.003,2.266,-2.866,0.6,-0.109,1.176,0.372,0.397,0.355,194.626
9.6,0.0,2.0,0.0,0.921,2.242,-2.869,0.6,-0.083,0.599,0.227,0.36,0.31,195.313
9.7,0.0,2.0,0.0,0.896,2.237,-2.87,0.6,-0.033,0.689,0.097,0.336,0.273,195.932
9.8,0.0,2.0,0.0,0.823,2.214,-2.874,0.6,-0.035,0.849,0.256,0.375,0.319,196.893
9.9,0.0,2.0,0.0,0.755,2.199,-2.881,0.6,-0.029,0.807,0.097,0.377,0.285,197.69
10.0,0.0,2.0,0.0,0.71,2.185,-2.883,0.6,-0.001,1.384,0.285,0.38,0.347,199.19
10.1,0.0,2.0,0.0,0.63,2.161,-2.883,0.6,-0.041,0.672,0.29,0.333,0.346,199.968
10.2,0.0,2.0,0.0,0.592,2.151,-2.884,0.6,-0.033,0.766,0.338,0.352,0.334,200.887
10.3,0.0,2.0,0.0,0.526,2.136,-2.886,0.6,-0.042,1.437,0.351,0.391,0.34,202.521
10.4,0.0,2.0,0.0,0.439,2.113,-2.887,0.6,-0.03,0.895,0.344,0.356,0.346,203.572
10.5,0.0,2.0,0.0,0.37,2.098,-2.888,0.6,-0.012,0.709,0.296,0.372,0.359,204.46
10.6,0.0,2.0,0.0,0.295,2.071,-2.886,0.6,0.016,1.713,0.394,0.391,0.359,206.409
10.7,0.0,2.0,0.0,0.264,2.061,-2.886,0.6,-0.042,1.18,0.652,0.387,0.393,208.119
10.8,0.0,2.0,0.0,0.175,2.036,-2.882,0.525,-0.044,0.682,0.285,0.346,0.322,208.905
10.9,0.0,2.0,0.0,0.135,2.027,-2.885,0.45,-0.047,0.584,0.12,0.288,0.254,209.382
11.0,0.0,0.0,0.0,0.058,2.006,-2.888,0.3,-0.049,0.28,0.085,0.098,0.091,209.466
11.1,0.0,0.0,0.0,0.027,1.998,-2.892,0.375,1.151,0.337,0.088,0.144,0.079,209.599
11.2,0.0,0.0,0.0,-0.048,1.977,-2.896,0.525,1.2,0.686,1.626,0.008,0.452,211.374
11.3,0.0,0.0,0.0,-0.068,1.975,-2.883,0.6,1.2,0.956,3.088,0.166,0.542,215.769
11.4,0.0,0.0,0.0,-0.104,1.954,-2.796,0.6,1.2,0.782,1.767,0.096,0.545,218.262
11.5,0.0,0.0,0.0,-0.163,1.921,-2.589,0.6,1.2,0.714,2.119,0.08,0.57,221.297
11.6,0.0,0.0,0.0,-0.225,1.888,-2.485,0.6,1.2,0.537,2.259,0.062,0.555,224.386
11.7,0.0,0.0,0.0,-0.269,1.85,-2.376,0.6,1.2,0.539,2.109,0.05,0.555,227.26
11.8,0.0,0.0,0.0,-0.313,1.81,-2.265,0.6,1.2,0.424,2.548,0.062,0.56,230.746
11.9,0.0,0.0,0.0,-0.342,1.773,-2.155,0.6,1.2,0.51,2.805,0.084,0.565,234.652
12.0,0.0,0.0,0.0,-0.401,1.673,-1.93,0.6,1.2,0.646,2.528,0.076,0.589,238.344
12.1,0.0,0.0,0.0,-0.422,1.624,-1.816,0.6,1.2,0.831,2.182,0.07,0.575,241.494
12.2,0.0,0.0,0.0,-0.454,1.542,-1.71,0.6,1.2,0.619,2.0,0.087,0.565,244.333
12.3,0.0,0.0,0.0,-0.463,1.478,-1.604,0.6,1.066,0.68,1.438,0.065,0.545,246.32
12.4,0.0,0.0,0.0,-0.461,1.425,-1.493,0.6,1.126,0.682,2.188,0.083,0.555,249.369
12.5,0.0,0.0,0.0,-0.454,1.362,-1.385,0.6,-0.155,0.471,0.587,0.183,0.473,250.242
12.6,0.0,0.0,0.0,-0.44,1.301,-1.277,0.6,-0.718,1.466,0.119,0.393,0.266,251.701
12.7,0.0,0.0,0.0,-0.407,1.239,-1.129,0.6,-0.114,0.646,0.247,0.356,0.294,252.428
